node1	node2
KRAS	SH2D3A
KRT1	MBL2
LAMP2	TNF
LCK	STAT1
LMO2	STAT1
LNPEP	TNF
LRRC4B	MX1
LYN	TNF
LZTR1	STAT1
MAD2L1	MBL2
MAP2K2	TNF
MAP3K7	TNF
MAPK14	STAT1
MAPK8	SH2D3A
MASP1	MBL2
MASP2	MBL2
MAVS	STAT1
MBD1	STAT1
MBL2	TRAPPC2
MBL2	PTPRC
MCM3	STAT1
MCM5	STAT1
MDK	STAT1
MLST8	STAT1
MMP17	TNF
MTOR	STAT1
MTX3	TNF
MX1	PIAS1
MX1	PLRG1
MX1	PSD3
MX1	RELA
MX1	SIAH1
MX1	SLC25A3
MX1	SP100
MX1	SUMO1
MX1	TDG
MX1	TUBA1A
MX1	UBE2I
MX1	ZBTB16
MX1	ZCCHC12
MX1	ZNF251
MX1	ZNF623
MX1	TRPC1
MX1	TRPC3
MX1	TRPC4
MX1	TRPC5
MX1	TRPC6
MX1	TRPC7
MX1	TUBB
NAA10	STAT1
NAA15	STAT1
NCLN	TNF
NCR3LG1	TNF
ND4L	STAT1
NEK7	TNF
NEO1	TNF
NFKBIA	TNF
NFKBIA	STAT1
NMD3	STAT1
NMI	STAT1
NOMO1	STAT1
NOMO2	STAT1
NRP1	TNF
NSF	STAT1
NTRK1	STAT1
NXF1	SH2D3A
OPTN	TNF
OTUD4	STAT1
OTULIN	TNF
PAK2	STAT1
PARP9	STAT1
PAWR	STAT1
PCDH7	TNF
PDGFRA	STAT1
PDGFRB	STAT1
PDIK1L	TNF
PHGDH	STAT1
PIAS1	STAT1
PIK3CA	STAT1
PLXNA2	TNF
PML	STAT1
POR	STAT1
POU2F1	TNF
PPARA	STAT1
PPARD	STAT1
PPARG	STAT1
PPP2R4	STAT1
PRKCD	STAT1
PRKCE	STAT1
PRMT1	STAT1
PRMT3	STAT1
PRTN3	TNF
PSMC3	STAT1
PSMD9	TNF
PTK2	STAT1
PTPN11	STAT1
PTPN2	STAT1
PTPRS	TNF
RAB18	TNF
RAB5A	TNF
RAC1	TNF
RAC1	STAT1
RALBP1	TNF
RBCK1	TNF
RC3H1	TNF
RELA	STAT1
RHEB	TNF
RIPK1	TNF
RNF11	STAT1
RNF31	TNF
RNF8	TNF
RPS6KA5	STAT1
RPS6KB1	STAT1
RTF1	STAT1
RXRA	STAT1
SARS	STAT1
SEC61A1	TNF
SEMA4C	TNF
SFN	SH2D3A
SFXN5	TNF
SHANK1	STAT1
SHARPIN	TNF
SHMT1	STAT1
SHMT2	STAT1
SMARCA2	STAT1
SMARCA4	STAT1
SMURF1	STAT1
SNX1	STAT1
SNX2	STAT1
SNX6	STAT1
SPACA1	STAT1
SPTAN1	STAT1
SPTB	STAT1
SPTBN1	STAT1
SRC	STAT1
STAT1	STAT2
STAT1	STAT3
STAT1	STAT5A
STAT1	TBCD
STAT1	TEX264
STAT1	TNFRSF1A
STAT1	TRADD
STAT1	TRIM28
STAT1	TSNAX
STAT1	TYK2
STAT1	U2AF2
STAT1	UBE2I
STAT1	USP13
STAT1	VCP
STAT1	VDR
STAT1	VPS26A
STAT1	VPS29
STAT1	XPO1
STAT1	YAP1
STAT1	STAT5B
STAT1	SUMO4
STAT1	SYK
STAT1	TNFRSF1B
STAT1	ZNF467
TAB1	TNF
TAB2	TNF
TAMM41	TNF
TBK1	TNF
TM2D3	TNF
TMEM259	TNF
TNF	TNFAIP3
TNF	TNFRSF1A
TNF	TNFRSF1B
TNF	TNFSF9
TNF	TNIP1
TNF	TRADD
TNF	TRAF2
TNF	UBC
TNF	UBE2N
TNF	UFL1
TNF	YWHAQ
TNF	ZFP36
